Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20851.2	-20830.1	-21.0996	0.422231	0.206601	0.0851419	0.0168942	0.253934	0.095238	0.0169331	0.0374806	0.00218134	0.195923	0.107509	0.507816	0.0189515	0.0279557	0.0125237	0.0350008	0.0643246	0.0502569	0.0849282	0.125822	0.0700026	0.0138763	0.0426632	0.00162801	0.0749556	0.0502445	0.040906	0.0553994	0.1374	0.211787	0.13456	0.170694	0.0333262	0.0907505	0.180938	0.158045	0.0363508	0.0409449	0.0169505	0.0449447	0.265261	0.0400006	0.0259083	0.00150103	0.434468	0.0679731	0.113686	0.0983584	0.239931	0.045584	0.0200478	0.198158	0.754258	3.02754	0.224515	0.0883162	0.632417	0.0547521	3.88445
10	-15862	-15838.9	-23.1004	0.352979	0.143879	0.145026	0.0427027	0.121569	0.215762	0.1852	0.0632685	0.00269599	0.109784	0.10806	0.380653	0.0494618	0.104657	0.0298615	0.0959982	0.113056	0.199287	0.0985494	0.145868	0.189029	0.0609085	0.183771	0.00135137	0.139857	0.103045	0.0576157	0.0092259	0.0967959	0.0287453	0.0568618	0.0738695	0.047033	0.0954604	0.0514401	0.113057	0.0193024	0.0124176	0.0428874	0.117325	0.153219	0.0403367	0.0339199	0.00207112	0.189447	0.0296392	0.0690217	0.0428885	0.649127	0.0198766	0.0105559	0.14587	0.674941	3.16863	0.236553	0.224739	0.341147	0.19756	4.08489
20	-15320.2	-15290.2	-29.9536	0.32361	0.143879	0.146354	0.142106	0.0699052	0.296399	0.204572	0.120978	0.00321366	0.201517	0.123042	0.135734	0.110307	0.166846	0.056174	0.295288	0.137017	0.174041	0.185554	0.131275	0.227569	0.11398	0.298834	0.00368072	0.130098	0.042802	0.0424763	0.00764009	0.0729248	0.0462891	0.0265612	0.0278235	0.0743581	0.0983047	0.0489192	0.0546559	0.036679	0.0128051	0.0640233	0.24235	0.160593	0.0326568	0.0555347	0.00458968	0.191246	0.0299207	0.0813365	0.0432959	0.634135	0.0200654	0.00740478	0.122943	0.633404	3.23625	0.21328	0.281006	0.307584	0.19813	4.77035
30	-14601.4	-14563.7	-37.7022	0.27491	0.191719	0.213287	0.150821	0.108141	0.443268	0.184125	0.168126	0.0153518	0.170798	0.133144	0.144778	0.191162	0.180544	0.156737	0.327162	0.128082	0.28714	0.298571	0.158397	0.21113	0.114833	0.366887	0.0121756	0.145403	0.020024	0.0153965	0.00998181	0.0751257	0.0781545	0.0151572	0.008632	0.0826842	0.110104	0.0587289	0.00879252	0.0411351	0.0109399	0.0258487	0.211824	0.042195	0.0468422	0.165476	0.0166219	0.144791	0.160444	0.0725569	0.0386225	0.565686	0.0178995	0.00348115	0.0851799	0.551159	3.36018	0.344177	0.328781	0.0952274	0.231815	5.54545
40	-14436.6	-14397.1	-39.4967	0.31791	0.127765	0.2137	0.195635	0.128566	0.295254	0.250404	0.235214	0.0816421	0.21136	0.121975	0.18083	0.157066	0.13735	0.421218	0.316324	0.0980948	0.247574	0.242015	0.176596	0.24719	0.119398	0.40142	0.0548823	0.0668582	0.00981656	0.0103961	0.00160578	0.0997259	0.0538366	0.0133901	0.00482044	0.191292	0.0347062	0.112619	0.00339234	0.0177714	0.0104985	0.0303621	0.146391	0.0440941	0.0155442	0.172185	0.0239016	0.110049	0.124353	0.055147	0.0293551	0.667492	0.0136045	0.00686018	0.118481	0.62469	3.24997	0.322035	0.307629	0.152305	0.218032	5.72468
50	-14309	-14259.5	-49.467	0.321913	0.185911	0.235747	0.25903	0.133215	0.382463	0.24061	0.265577	0.239025	0.283291	0.183805	0.163517	0.247891	0.166831	0.344237	0.394513	0.121562	0.294113	0.277626	0.243631	0.256895	0.162368	0.308427	0.139352	0.0333393	0.00617799	0.0099769	0.00127828	0.0645264	0.0988957	0.037941	0.01178	0.189055	0.0512093	0.147379	0.0114531	0.0302116	0.0169451	0.0389702	0.120457	0.0464055	0.0242681	0.205276	0.0465108	0.110049	0.124353	0.055147	0.0293551	0.667492	0.0136045	0.00724027	0.121614	0.630832	3.24031	0.327133	0.305315	0.15116	0.216392	6.72169
60	-14143.2	-14085.7	-57.5612	0.305978	0.139579	0.202748	0.33182	0.165898	0.374284	0.204504	0.295468	0.254704	0.336792	0.232608	0.171539	0.303179	0.209856	0.384912	0.380035	0.143818	0.445565	0.401591	0.210173	0.237916	0.123321	0.361005	0.199887	0.0459932	0.0140895	0.0267702	0.00281996	0.0539431	0.135719	0.0775182	0.0311008	0.137601	0.138702	0.118974	0.0117774	0.0247278	0.0246778	0.0258492	0.0947785	0.0241594	0.0381411	0.257036	0.135616	0.0935203	0.105676	0.0468643	0.0249461	0.717432	0.0115612	0.00579277	0.109153	0.605707	3.27935	0.327133	0.305315	0.15116	0.216392	7.53119
70	-14041.9	-13973.8	-68.1401	0.302104	0.175103	0.281609	0.26657	0.137353	0.608438	0.301661	0.326972	0.217969	0.365885	0.243489	0.235713	0.25354	0.251306	0.491534	0.643679	0.132082	0.455435	0.423849	0.284594	0.239751	0.115254	0.444049	0.234929	0.0213178	0.0341034	0.0457899	0.00686608	0.111559	0.0936929	0.0218535	0.0895095	0.0700937	0.145628	0.119484	0.00799587	0.0250793	0.0998154	0.0213765	0.0322625	0.050985	0.0465701	0.266499	0.147859	0.073593	0.0929588	0.0451719	0.0219441	0.756162	0.0101699	0.00546754	0.106133	0.59932	3.28908	0.32564	0.303171	0.156316	0.214872	8.5891
80	-13993.1	-13925.6	-67.4644	0.26898	0.189843	0.325968	0.219662	0.202445	0.554076	0.359925	0.444832	0.276915	0.360346	0.218002	0.233051	0.40044	0.192108	0.506981	0.604378	0.110395	0.389186	0.333189	0.257792	0.214958	0.118104	0.299713	0.214775	0.0345523	0.0595034	0.0818979	0.00575888	0.0747121	0.0367944	0.0148408	0.118714	0.0747733	0.171865	0.164817	0.0124724	0.0263246	0.101729	0.0200642	0.0344661	0.0791666	0.0298642	0.191609	0.160687	0.0578775	0.0945357	0.0459382	0.0223163	0.76899	0.0103425	0.00311672	0.0806991	0.53984	3.37634	0.333883	0.310845	0.160273	0.194998	8.5217
90	-13917.3	-13850.2	-67.069	0.286752	0.169374	0.349956	0.294434	0.175934	0.485733	0.272161	0.343896	0.274859	0.354251	0.302562	0.193206	0.35957	0.205834	0.459622	0.695805	0.129437	0.483753	0.343982	0.302616	0.120678	0.128818	0.296989	0.198654	0.0150108	0.0352025	0.273648	0.0177479	0.0916348	0.0160926	0.0253862	0.128228	0.0133955	0.127281	0.168344	0.0295302	0.0196188	0.154716	0.0815214	0.00596826	0.0416574	0.0791466	0.100485	0.115334	0.0621731	0.101552	0.0493476	0.0239726	0.751845	0.0111101	0.00428231	0.0942369	0.572868	3.32861	0.344162	0.320415	0.134422	0.201001	8.48207
