Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20448.8	-20415.4	-33.3695	0.0645839	0.243803	0.142035	0.0797053	0.0355694	0.000508988	0.0410352	0.139865	0.0700301	0.0296663	0.130638	0.0166492	0.0760509	0.0127231	0.160091	0.677657	0.245759	0.487765	0.0908594	0.0656374	0.125071	0.0144592	0.0104081	0.0643834	0.0306703	0.0134445	0.0159758	0.00136806	0.132709	0.0403625	0.0917803	0.0396529	0.251778	0.000369703	0.0125899	0.0619322	0.161622	0.0220059	0.151688	0.165566	0.045266	0.103149	0.388329	4.75521
1	-18477.6	-18457.4	-20.1628	0.112098	0.180799	0.0847892	0.116894	0.13034	0.00160354	0.055436	0.120865	0.11291	0.139091	0.141082	0.0299519	0.105292	0.0312674	0.167661	0.148955	0.114613	0.228283	0.111587	0.154587	0.194849	0.0389656	0.0247736	0.0300195	0.0235236	0.0192683	0.0433609	0.000337699	0.0489259	0.0295274	0.0632214	0.0444808	0.137646	0.000302054	0.00919578	0.0146256	0.0569595	0.0853416	0.0735262	0.0173445	0.101649	0.0249116	0.063677	3.43454
2	-17722.2	-17699.6	-22.5895	0.145213	0.181524	0.127005	0.174225	0.173743	0.0126407	0.165547	0.117903	0.185343	0.238964	0.10614	0.0400167	0.0933122	0.0818745	0.17045	0.113308	0.0815293	0.110329	0.130067	0.191197	0.187508	0.129246	0.104531	0.0232458	0.0168769	0.0416735	0.0911247	0.000511859	0.0052162	0.0166856	0.0395193	0.0480346	0.0346314	0.00165841	0.0038073	0.0274545	0.0135632	0.0971356	0.0440871	0.00919568	0.0628334	0.0124785	0.0258587	3.67721
3	-17383.1	-17360.3	-22.845	0.184471	0.131581	0.121454	0.193818	0.18535	0.0257431	0.188232	0.0842922	0.14744	0.220862	0.102484	0.0623251	0.0970674	0.152404	0.148411	0.126536	0.0907018	0.119354	0.119277	0.18204	0.12153	0.146797	0.174975	0.0269456	0.0198138	0.0427953	0.0795465	0.000883121	0.0146846	0.0286378	0.0364072	0.0275255	0.0292928	0.0139008	0.00255142	0.0466037	0.00818726	0.0911041	0.014049	0.0110996	0.0264653	0.0113266	0.0437915	3.70275
4	-17156.3	-17135.5	-20.8457	0.125358	0.101455	0.101935	0.197818	0.193187	0.0551678	0.13029	0.0742153	0.13994	0.242194	0.121484	0.0940364	0.085388	0.14962	0.120111	0.098881	0.0788671	0.108063	0.11271	0.18204	0.0696807	0.133506	0.172589	0.0495341	0.0211474	0.0359526	0.076906	0.000916956	0.0180869	0.00949161	0.0322521	0.0342641	0.0281586	0.00301315	0.0126901	0.0714182	0.0137275	0.0657458	0.0138766	0.0153724	0.0193439	0.0236635	0.0687216	3.50282
5	-17036	-17013.7	-22.2887	0.131788	0.107139	0.082686	0.115708	0.184807	0.0759048	0.174126	0.0769883	0.151264	0.242194	0.11058	0.114358	0.0961604	0.137324	0.145992	0.153011	0.115961	0.0939631	0.127435	0.187023	0.0756141	0.144472	0.176985	0.0455739	0.0104196	0.0594419	0.0696242	0.00230947	0.0180618	0.00419465	0.0276187	0.0445928	0.0239759	0.00299196	0.00776589	0.066393	0.0186096	0.0809364	0.00855977	0.0190617	0.01787	0.0355136	0.0621295	3.64713
6	-16673.7	-16653.3	-20.3773	0.104951	0.101757	0.0828419	0.0928445	0.187535	0.0917981	0.128148	0.0880268	0.156674	0.24406	0.0928552	0.142439	0.102032	0.20345	0.135168	0.12989	0.0900406	0.0984999	0.118473	0.116789	0.100197	0.144472	0.146884	0.040646	0.0104196	0.0243121	0.0569357	0.00472318	0.0673092	0.00614631	0.0155524	0.0149596	0.0117226	0.0021236	0.0108827	0.0516124	0.0428402	0.0416397	0.00543716	0.0662417	0.0274196	0.0339679	0.0212659	3.45599
7	-16593.3	-16572.3	-20.9677	0.109619	0.109664	0.0798774	0.108344	0.208575	0.0962199	0.161173	0.0839791	0.178786	0.218127	0.128567	0.120789	0.0871887	0.205649	0.157188	0.147687	0.0690949	0.114421	0.0998907	0.102487	0.0723247	0.108486	0.135477	0.0375466	0.0401578	0.0204063	0.017558	0.00934615	0.104025	0.0160968	0.0104352	0.0194567	0.0138004	0.00782998	0.0122512	0.0323511	0.0652995	0.0430771	0.00227965	0.104405	0.0286275	0.0196766	0.00678181	3.51502
8	-16572.1	-16552.4	-19.7377	0.093589	0.0960175	0.0714833	0.0841742	0.203524	0.089519	0.161445	0.0902724	0.121195	0.233781	0.110228	0.106253	0.0860714	0.202331	0.143992	0.140815	0.0690949	0.102404	0.0973558	0.101988	0.0841884	0.11428	0.153368	0.0352857	0.0268681	0.0222723	0.0247612	0.012092	0.118585	0.0205636	0.00937624	0.0365198	0.017528	0.0096899	0.0167482	0.0322413	0.0553419	0.0510946	0.000724163	0.104215	0.0172268	0.0195548	0.00396783	3.39203
9	-16493	-16474.7	-18.344	0.0971024	0.0849203	0.074118	0.10546	0.204579	0.1014	0.140266	0.0902724	0.116322	0.232044	0.0957149	0.0901582	0.100355	0.174738	0.150467	0.091009	0.0586607	0.0688137	0.117865	0.076036	0.0836888	0.111678	0.1361	0.0318547	0.0255984	0.0260181	0.0461973	0.0127404	0.121408	0.017532	0.00843145	0.0245876	0.0147532	0.0410933	0.0117784	0.0228056	0.0545109	0.0455749	0.00144309	0.084108	0.019782	0.0385728	0.00209531	3.25266
10	-16452.3	-16432.7	-19.6524	0.0950284	0.125094	0.0716066	0.121331	0.212894	0.0861643	0.132669	0.0911272	0.116322	0.210403	0.105009	0.130098	0.0944238	0.183367	0.160368	0.132693	0.0871869	0.0820883	0.10221	0.066787	0.0975733	0.120316	0.112682	0.0325164	0.0416935	0.0306211	0.0396199	0.0126437	0.118363	0.011342	0.000810614	0.0245049	0.00754632	0.0339713	0.0217424	0.0169869	0.0453527	0.0572348	0.00438835	0.104549	0.020682	0.0206567	0.000828588	3.3835
